Year Read,Book Name,Book Title,Author,Description,Links2,Links
2023,Dreadgod (Cradle Book 11),Dreadgod (Cradle Book 11),Will Wight,,<a href='https://www.goodreads.com/book/show/59515764-dreadgod'>Dreadgod (Cradle Book 11)</a>,https://www.goodreads.com/book/show/59515764-dreadgod
2023,Waybound (Cradle Book 12),Waybound (Cradle Book 12),Will Wight,,<a href='https://www.goodreads.com/book/show/173338910-waybound'>Waybound (Cradle Book 12)</a>,https://www.goodreads.com/book/show/173338910-waybound
2023,Sentenced to Troll,Sentenced to Troll,S.L. Rowland,,<a href='https://www.goodreads.com/book/show/215341165-sentenced-to-troll?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=1'>Sentenced to Troll</a>,https://www.goodreads.com/book/show/215341165-sentenced-to-troll?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=1
2023,Sentenced to Troll 2,Sentenced to Troll 2,S.L. Rowland,,<a href='https://www.goodreads.com/book/show/59128190-sentenced-to-troll-2?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=2'>Sentenced to Troll 2</a>,https://www.goodreads.com/book/show/59128190-sentenced-to-troll-2?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=2
2023,Sentenced to Troll 3,Sentenced to Troll 3,S.L. Rowland,,<a href='https://www.goodreads.com/book/show/59128219-sentenced-to-troll-3?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=5'>Sentenced to Troll 3</a>,https://www.goodreads.com/book/show/59128219-sentenced-to-troll-3?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=5
2023,Sentenced to Troll 4,Sentenced to Troll 4,S.L. Rowland,,<a href='https://www.goodreads.com/book/show/59162991-sentenced-to-troll-4?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=4'>Sentenced to Troll 4</a>,https://www.goodreads.com/book/show/59162991-sentenced-to-troll-4?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=4
2023,Sentenced to Troll 5,Sentenced to Troll 5,S.L. Rowland,,<a href='https://www.goodreads.com/book/show/61416646-sentenced-to-troll-5?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=6'>Sentenced to Troll 5</a>,https://www.goodreads.com/book/show/61416646-sentenced-to-troll-5?from_search=true&from_srp=true&qid=hPNZO12HHX&rank=6
2023,Fire and Song (Warformed: Stormweaver Book 2),Fire and Song (Warformed: Stormweaver Book 2),Bryce O'Connor,,<a href='https://www.goodreads.com/book/show/188994646-fire-and-song?from_search=true&from_srp=true&qid=t0QezN1us7&rank=1'>Fire and Song (Warformed: Stormweaver Book 2)</a>,https://www.goodreads.com/book/show/188994646-fire-and-song?from_search=true&from_srp=true&qid=t0QezN1us7&rank=1
,,,,,<a href=''></a>,
2022,The Long Way Down (Daniel Faust Book 1),The Long Way Down (Daniel Faust Book 1),Craig Schaefer,,<a href='https://www.goodreads.com/book/show/22743827-the-long-way-down?from_search=true&from_srp=true&qid=X7lxhrd5is&rank=1'>The Long Way Down (Daniel Faust Book 1)</a>,https://www.goodreads.com/book/show/22743827-the-long-way-down?from_search=true&from_srp=true&qid=X7lxhrd5is&rank=1
2022,He Who Fights with Monsters 4,He Who Fights with Monsters 4,Shirtaloon,,<a href='https://www.goodreads.com/book/show/58821848-he-who-fights-with-monsters-4?from_search=true&from_srp=true&qid=WRgtUj5Mua&rank=1'>He Who Fights with Monsters 4</a>,https://www.goodreads.com/book/show/58821848-he-who-fights-with-monsters-4?from_search=true&from_srp=true&qid=WRgtUj5Mua&rank=1
2022,Azarinth Healer Series,Azarinth Healer Series,Rhaegar,,<a href='https://www.royalroad.com/fiction/16946/azarinth-healer'>Azarinth Healer Series</a>,https://www.royalroad.com/fiction/16946/azarinth-healer
2022,Defiance of the Fall,Defiance of the Fall,J.F. Brink,,<a href='https://www.goodreads.com/book/show/57866482-defiance-of-the-fall?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=1'>Defiance of the Fall</a>,https://www.goodreads.com/book/show/57866482-defiance-of-the-fall?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=1
2022,Defiance of the Fall 2,Defiance of the Fall 2,J.F. Brink,,<a href='https://www.goodreads.com/book/show/58341974-defiance-of-the-fall-2?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=2'>Defiance of the Fall 2</a>,https://www.goodreads.com/book/show/58341974-defiance-of-the-fall-2?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=2
2022,Defiance of the Fall 3,Defiance of the Fall 3,J.F. Brink,,<a href='https://www.goodreads.com/book/show/58769603-defiance-of-the-fall-3?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=5'>Defiance of the Fall 3</a>,https://www.goodreads.com/book/show/58769603-defiance-of-the-fall-3?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=5
2022,Defiance of the Fall 4,Defiance of the Fall 4,J.F. Brink,,<a href='https://www.goodreads.com/book/show/59763121-defiance-of-the-fall-4?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=7'>Defiance of the Fall 4</a>,https://www.goodreads.com/book/show/59763121-defiance-of-the-fall-4?from_search=true&from_srp=true&qid=2yQUhf83Fi&rank=7
2022,Children of Blood and Bone (Legacy of Orisha Book 1),Children of Blood and Bone (Legacy of Orisha Book 1),Tomi Adeyemi,,<a href='https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone?from_search=true&from_srp=true&qid=ldN8CX4Q2P&rank=1'>Children of Blood and Bone (Legacy of Orisha Book 1)</a>,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone?from_search=true&from_srp=true&qid=ldN8CX4Q2P&rank=1
2022,He Who Fights with Monsters 5,He Who Fights with Monsters 5,Shirtaloon,,<a href='https://www.goodreads.com/book/show/59906678-he-who-fights-with-monsters-5?from_search=true&from_srp=true&qid=v7HSyx36E8&rank=1'>He Who Fights with Monsters 5</a>,https://www.goodreads.com/book/show/59906678-he-who-fights-with-monsters-5?from_search=true&from_srp=true&qid=v7HSyx36E8&rank=1
2022,He Who Fights with Monsters 6,He Who Fights with Monsters 6,Shirtaloon,,<a href='https://www.goodreads.com/book/show/60725860-he-who-fights-with-monsters-6?from_search=true&from_srp=true&qid=qU9LLX4edl&rank=1'>He Who Fights with Monsters 6</a>,https://www.goodreads.com/book/show/60725860-he-who-fights-with-monsters-6?from_search=true&from_srp=true&qid=qU9LLX4edl&rank=1
2022,He Who Fights with Monsters 7,He Who Fights with Monsters 7,Shirtaloon,,<a href='https://www.goodreads.com/book/show/61379442-he-who-fights-with-monsters-7?from_search=true&from_srp=true&qid=Mk75aGjrKp&rank=1'>He Who Fights with Monsters 7</a>,https://www.goodreads.com/book/show/61379442-he-who-fights-with-monsters-7?from_search=true&from_srp=true&qid=Mk75aGjrKp&rank=1
2022,Viridian Gate Online: Empirical Endgame (Book 8),Viridian Gate Online: Empirical Endgame (Book 8),James A. Hunter,,<a href='https://www.goodreads.com/book/show/116543813-viridian-gate-online?from_search=true&from_srp=true&qid=a7bdCcGb1a&rank=1'>Viridian Gate Online: Empirical Endgame (Book 8)</a>,https://www.goodreads.com/book/show/116543813-viridian-gate-online?from_search=true&from_srp=true&qid=a7bdCcGb1a&rank=1
2022,Awaken Online: Armageddon (Book 6),Awaken Online: Armageddon (Book 6),Travis Bagwell,,<a href='https://www.goodreads.com/book/show/61997530-armageddon?from_search=true&from_srp=true&qid=upR34kbCam&rank=1'>Awaken Online: Armageddon (Book 6)</a>,https://www.goodreads.com/book/show/61997530-armageddon?from_search=true&from_srp=true&qid=upR34kbCam&rank=1
2022,He Who Fights with Monsters 8,He Who Fights with Monsters 8,Shirtaloon,,<a href='https://www.goodreads.com/book/show/62331485-he-who-fights-with-monsters-8?from_search=true&from_srp=true&qid=mFrVxcLY2c&rank=1'>He Who Fights with Monsters 8</a>,https://www.goodreads.com/book/show/62331485-he-who-fights-with-monsters-8?from_search=true&from_srp=true&qid=mFrVxcLY2c&rank=1
